x.pos,y.pos,area,tidestate,observationhour,GridCode,Year,DayOfMonth,MonthOfYear,impact,count,pres
1500,-4500,0.385253012,EBB,12,a11,9,13,3,0,0,0
500,-3500,1,EBB,12,b10,9,13,3,0,0,0
500,-4500,0.96886747,EBB,12,b11,9,13,3,0,0,0
500,-500,0.162024096,EBB,12,b7,9,13,3,0,0,0
500,-1500,0.493975904,EBB,12,b8,9,13,3,0,0,0
500,-2500,0.828,EBB,12,b9,9,13,3,0,0,0
-500,-3500,1,EBB,12,c10,9,13,3,0,0,0
-500,-4500,0.969253012,EBB,12,c11,9,13,3,0,2,1
-500,500,0.829975904,EBB,12,c6,9,13,3,0,0,0
-500,-500,1,EBB,12,c7,9,13,3,0,7,1
-500,-1500,1,EBB,12,c8,9,13,3,0,15,1
-500,-2500,1,EBB,12,c9,9,13,3,0,0,0
-1500,-3500,1,EBB,12,d10,9,13,3,0,4,1
-1500,-4500,0.762506024,EBB,12,d11,9,13,3,0,0,0
-1500,1500,1,EBB,12,d5,9,13,3,0,1,1
-1500,500,1,EBB,12,d6,9,13,3,0,2,1
-1500,-500,1,EBB,12,d7,9,13,3,0,0,0
-1500,-1500,1,EBB,12,d8,9,13,3,0,1,1
-1500,-2500,1,EBB,12,d9,9,13,3,0,3,1
-2500,-3500,1,EBB,12,e10,9,13,3,0,3,1
-2500,-4500,0.317975904,EBB,12,e11,9,13,3,0,0,0
-2500,2500,1,EBB,12,e4,9,13,3,0,0,0
-2500,1500,1,EBB,12,e5,9,13,3,0,0,0
-2500,500,1,EBB,12,e6,9,13,3,0,3,1
-2500,-500,1,EBB,12,e7,9,13,3,0,0,0
-2500,-1500,1,EBB,12,e8,9,13,3,0,0,0
-2500,-2500,1,EBB,12,e9,9,13,3,0,0,0
-3500,-3500,0.544481928,EBB,12,f10,9,13,3,0,0,0
-3500,3500,0.544481928,EBB,12,f3,9,13,3,0,0,0
-3500,2500,1,EBB,12,f4,9,13,3,0,0,0
-3500,1500,1,EBB,12,f5,9,13,3,0,0,0
-3500,500,1,EBB,12,f6,9,13,3,0,0,0
-3500,-500,1,EBB,12,f7,9,13,3,0,0,0
-3500,-1500,1,EBB,12,f8,9,13,3,0,0,0
-3500,-2500,1,EBB,12,f9,9,13,3,0,0,0
-4500,2500,0.312289157,EBB,12,g4,9,13,3,0,0,0
-4500,1500,0.756857143,EBB,12,g5,9,13,3,0,0,0
-4500,500,0.963855422,EBB,12,g6,9,13,3,0,0,0
-4500,-500,0.963855422,EBB,12,g7,9,13,3,0,3,1
-4500,-1500,0.759036145,EBB,12,g8,9,13,3,0,1,1
-4500,-2500,0.315428571,EBB,12,g9,9,13,3,0,0,0
1500,-4500,0.385253012,FLOOD,8,a11,9,16,3,0,0,0
500,-3500,1,FLOOD,8,b10,9,16,3,0,0,0
500,-4500,0.96886747,FLOOD,8,b11,9,16,3,0,0,0
500,-500,0.162024096,FLOOD,8,b7,9,16,3,0,0,0
500,-1500,0.493975904,FLOOD,8,b8,9,16,3,0,0,0
500,-2500,0.828,FLOOD,8,b9,9,16,3,0,0,0
-500,-3500,1,FLOOD,8,c10,9,16,3,0,0,0
-500,-4500,0.969253012,FLOOD,8,c11,9,16,3,0,0,0
-500,500,0.829975904,FLOOD,8,c6,9,16,3,0,13,1
-500,-500,1,FLOOD,8,c7,9,16,3,0,3,1
-500,-1500,1,FLOOD,8,c8,9,16,3,0,4,1
-500,-2500,1,FLOOD,8,c9,9,16,3,0,0,0
-1500,-3500,1,FLOOD,8,d10,9,16,3,0,0,0
-1500,-4500,0.762506024,FLOOD,8,d11,9,16,3,0,0,0
-1500,1500,1,FLOOD,8,d5,9,16,3,0,1,1
-1500,500,1,FLOOD,8,d6,9,16,3,0,2,1
-1500,-500,1,FLOOD,8,d7,9,16,3,0,3,1
-1500,-1500,1,FLOOD,8,d8,9,16,3,0,18,1
-1500,-2500,1,FLOOD,8,d9,9,16,3,0,3,1
-2500,-3500,1,FLOOD,8,e10,9,16,3,0,0,0
-2500,-4500,0.317975904,FLOOD,8,e11,9,16,3,0,0,0
-2500,2500,1,FLOOD,8,e4,9,16,3,0,0,0
-2500,1500,1,FLOOD,8,e5,9,16,3,0,0,0
-2500,500,1,FLOOD,8,e6,9,16,3,0,6,1
-2500,-500,1,FLOOD,8,e7,9,16,3,0,0,0
-2500,-1500,1,FLOOD,8,e8,9,16,3,0,2,1
-2500,-2500,1,FLOOD,8,e9,9,16,3,0,3,1
-3500,-3500,0.544481928,FLOOD,8,f10,9,16,3,0,0,0
-3500,3500,0.544481928,FLOOD,8,f3,9,16,3,0,0,0
-3500,2500,1,FLOOD,8,f4,9,16,3,0,1,1
-3500,1500,1,FLOOD,8,f5,9,16,3,0,0,0
-3500,500,1,FLOOD,8,f6,9,16,3,0,0,0
-3500,-500,1,FLOOD,8,f7,9,16,3,0,0,0
-3500,-1500,1,FLOOD,8,f8,9,16,3,0,0,0
-3500,-2500,1,FLOOD,8,f9,9,16,3,0,0,0
-4500,2500,0.312289157,FLOOD,8,g4,9,16,3,0,0,0
-4500,1500,0.756857143,FLOOD,8,g5,9,16,3,0,0,0
-4500,500,0.963855422,FLOOD,8,g6,9,16,3,0,0,0
-4500,-500,0.963855422,FLOOD,8,g7,9,16,3,0,0,0
-4500,-1500,0.759036145,FLOOD,8,g8,9,16,3,0,0,0
-4500,-2500,0.315428571,FLOOD,8,g9,9,16,3,0,0,0
1500,-4500,0.385253012,FLOOD,9,a11,9,16,3,0,0,0
500,-3500,1,FLOOD,9,b10,9,16,3,0,0,0
500,-4500,0.96886747,FLOOD,9,b11,9,16,3,0,0,0
500,-500,0.162024096,FLOOD,9,b7,9,16,3,0,0,0
500,-1500,0.493975904,FLOOD,9,b8,9,16,3,0,0,0
500,-2500,0.828,FLOOD,9,b9,9,16,3,0,0,0
-500,-3500,1,FLOOD,9,c10,9,16,3,0,0,0
-500,-4500,0.969253012,FLOOD,9,c11,9,16,3,0,7,1
-500,500,0.829975904,FLOOD,9,c6,9,16,3,0,2,1
-500,-500,1,FLOOD,9,c7,9,16,3,0,6,1
-500,-1500,1,FLOOD,9,c8,9,16,3,0,0,0
-500,-2500,1,FLOOD,9,c9,9,16,3,0,0,0
-1500,-3500,1,FLOOD,9,d10,9,16,3,0,0,0
-1500,-4500,0.762506024,FLOOD,9,d11,9,16,3,0,0,0
-1500,1500,1,FLOOD,9,d5,9,16,3,0,0,0
-1500,500,1,FLOOD,9,d6,9,16,3,0,2,1
-1500,-500,1,FLOOD,9,d7,9,16,3,0,1,1
-1500,-1500,1,FLOOD,9,d8,9,16,3,0,36,1
-1500,-2500,1,FLOOD,9,d9,9,16,3,0,2,1
-2500,-3500,1,FLOOD,9,e10,9,16,3,0,7,1
-2500,-4500,0.317975904,FLOOD,9,e11,9,16,3,0,0,0
-2500,2500,1,FLOOD,9,e4,9,16,3,0,0,0
-2500,1500,1,FLOOD,9,e5,9,16,3,0,0,0
-2500,500,1,FLOOD,9,e6,9,16,3,0,4,1
-2500,-500,1,FLOOD,9,e7,9,16,3,0,0,0
-2500,-1500,1,FLOOD,9,e8,9,16,3,0,0,0
-2500,-2500,1,FLOOD,9,e9,9,16,3,0,3,1
-3500,-3500,0.544481928,FLOOD,9,f10,9,16,3,0,2,1
-3500,3500,0.544481928,FLOOD,9,f3,9,16,3,0,0,0
-3500,2500,1,FLOOD,9,f4,9,16,3,0,0,0
-3500,1500,1,FLOOD,9,f5,9,16,3,0,0,0
-3500,500,1,FLOOD,9,f6,9,16,3,0,0,0
-3500,-500,1,FLOOD,9,f7,9,16,3,0,0,0
-3500,-1500,1,FLOOD,9,f8,9,16,3,0,0,0
-3500,-2500,1,FLOOD,9,f9,9,16,3,0,0,0
-4500,2500,0.312289157,FLOOD,9,g4,9,16,3,0,0,0
-4500,1500,0.756857143,FLOOD,9,g5,9,16,3,0,0,0
-4500,500,0.963855422,FLOOD,9,g6,9,16,3,0,0,0
-4500,-500,0.963855422,FLOOD,9,g7,9,16,3,0,0,0
-4500,-1500,0.759036145,FLOOD,9,g8,9,16,3,0,1,1
-4500,-2500,0.315428571,FLOOD,9,g9,9,16,3,0,3,1
1500,-4500,0.385253012,FLOOD,10,a11,9,16,3,0,0,0
500,-3500,1,FLOOD,10,b10,9,16,3,0,0,0
500,-4500,0.96886747,FLOOD,10,b11,9,16,3,0,0,0
500,-500,0.162024096,FLOOD,10,b7,9,16,3,0,1,1
500,-1500,0.493975904,FLOOD,10,b8,9,16,3,0,0,0
500,-2500,0.828,FLOOD,10,b9,9,16,3,0,0,0
-500,-3500,1,FLOOD,10,c10,9,16,3,0,0,0
-500,-4500,0.969253012,FLOOD,10,c11,9,16,3,0,0,0
-500,500,0.829975904,FLOOD,10,c6,9,16,3,0,2,1
-500,-500,1,FLOOD,10,c7,9,16,3,0,10,1
-500,-1500,1,FLOOD,10,c8,9,16,3,0,0,0
-500,-2500,1,FLOOD,10,c9,9,16,3,0,0,0
-1500,-3500,1,FLOOD,10,d10,9,16,3,0,0,0
-1500,-4500,0.762506024,FLOOD,10,d11,9,16,3,0,1,1
-1500,1500,1,FLOOD,10,d5,9,16,3,0,0,0
-1500,500,1,FLOOD,10,d6,9,16,3,0,9,1
-1500,-500,1,FLOOD,10,d7,9,16,3,0,0,0
-1500,-1500,1,FLOOD,10,d8,9,16,3,0,27,1
-1500,-2500,1,FLOOD,10,d9,9,16,3,0,7,1
-2500,-3500,1,FLOOD,10,e10,9,16,3,0,8,1
